
County,GeoFips,GDP 2020,GDP 2021,GDP 2022,GDP 2023,% Change 2021,% Change 2022,% Change 2023,State Rank 2023
Autauga,1001,1746979,1736001,1895751,1945909,-0.6,9.2,2.6,23
Baldwin,1003,8109210,8706236,9145388,9435720,7.4,5.0,3.2,7
Barbour,1005,732151,753330,744850,715994,2.9,-1.1,-3.9,42
Bibb,1007,460844,460027,457625,466543,-0.2,-0.5,1.9,52
Blount,1009,906582,1033615,1031061,987208,14.0,-0.2,-4.3,34
Bullock,1011,269007,260950,252515,267926,-3.0,-3.2,6.1,64
Butler,1013,601322,639245,656864,660757,6.3,2.8,0.6,43
Calhoun,1015,4454207,4704903,4593362,4764871,5.6,-2.4,3.7,12
Chambers,1017,882006,876257,878621,903782,-0.7,0.3,2.9,38
Cherokee,1019,534073,597740,607982,599214,11.9,1.7,-1.4,47
Chilton,1021,1069934,1096741,1148340,1215493,2.5,4.7,5.8,33
Choctaw,1023,562101,574699,629451,618810,2.2,9.5,-1.7,45
Clarke,1025,850374,843622,826142,850844,-0.8,-2.1,3.0,39
Clay,1027,424267,439087,430827,386382,3.5,-1.9,-10.3,56
Cleburne,1029,279348,322737,327915,327927,15.5,1.6,0.0,62
Coffee,1031,1399269,1611624,1697570,1709663,15.2,5.3,0.7,25
Colbert,1033,2533138,2599438,2725169,2802771,2.6,4.8,2.8,19
