
County,GeoFips,Per Capita 2020,Per Capita 2021,Per Capita 2022,Per Capita 2023,% Change 2022,% Change 2023,State Rank 2023
Autauga,1001,45068,49174,49811,53079,1.3,6.6,10
Baldwin,1003,50895,56285,57621,60969,2.4,5.8,4
Barbour,1005,37062,40954,41031,41531,0.2,1.2,56
Bibb,1007,34817,37362,38196,39835,2.2,4.3,64
Blount,1009,37764,42975,44063,45021,2.5,2.2,38
Bullock,1011,30672,34068,33429,36061,-1.9,7.9,67
Butler,1013,39470,45438,47502,49192,4.5,3.6,22
Calhoun,1015,39562,43215,42668,44737,-1.3,4.8,40
Chambers,1017,35955,39269,39447,40735,0.5,3.3,62
Cherokee,1019,39894,44590,44563,45099,-0.1,1.2,36
Chilton,1021,38311,42839,43454,46120,1.4,6.1,31
Choctaw,1023,40471,43626,47125,49356,8.0,4.7,20
Clarke,1025,41203,45076,44788,47362,-0.6,5.7,26
Clay,1027,34994,39465,39456,39082,0.0,-0.9,66
Cleburne,1029,37849,42929,44251,44266,3.1,0.0,43
Coffee,1031,45162,50369,51776,53573,2.8,3.5,9
Colbert,1033,40340,44126,44800,47137,1.5,5.2,28
Conecuh,1035,37050,41418,41390,42999,-0.1,3.9,49
Coosa,1037,35699,39176,38739,40420,-1.1,4.3,63
