
County,GeoFips,Year,MetricType,Value,PercentChange,StateRank
Autauga,1001,2020,Per Capita Income,45068,,
Autauga,1001,2021,Per Capita Income,49174,1.3,
Autauga,1001,2022,Per Capita Income,49811,6.6,
Autauga,1001,2023,Per Capita Income,53079,,10
Baldwin,1003,2020,Per Capita Income,50895,,
Baldwin,1003,2021,Per Capita Income,56285,2.4,
Baldwin,1003,2022,Per Capita Income,57621,5.8,
Baldwin,1003,2023,Per Capita Income,60969,,4
Barbour,1005,2020,Per Capita Income,37062,,
Barbour,1005,2021,Per Capita Income,40954,0.2,
Barbour,1005,2022,Per Capita Income,41031,1.2,
Barbour,1005,2023,Per Capita Income,41531,,56
Bibb,1007,2020,Per Capita Income,34817,,
Bibb,1007,2021,Per Capita Income,37362,2.2,
Bibb,1007,2022,Per Capita Income,38196,4.3,
Bibb,1007,2023,Per Capita Income,39835,,64
Blount,1009,2020,Per Capita Income,37764,,
Blount,1009,2021,Per Capita Income,42975,2.5,
Blount,1009,2022,Per Capita Income,44063,2.2,
Blount,1009,2023,Per Capita Income,45021,,38
Bullock,1011,2020,Per Capita Income,30672,,
Bullock,1011,2021,Per Capita Income,34068,-1.9,
Bullock,1011,2022,Per Capita Income,33429,7.9,
Bullock,1011,2023,Per Capita Income,36061,,67
Butler,1013,2020,Per Capita Income,39470,,
Butler,1013,2021,Per Capita Income,45438,4.5,
Butler,1013,2022,Per Capita Income,47502,3.6,
Butler,1013,2023,Per Capita Income,49192,,22
Calhoun,1015,2020,Per Capita Income,39562,,
Calhoun,1015,2021,Per Capita Income,43215,-1.3,
Calhoun,1015,2022,Per Capita Income,42668,4.8,
Calhoun,1015,2023,Per Capita Income,44737,,40
Chambers,1017,2020,Per Capita Income,35955,,
Chambers,1017,2021,Per Capita Income,39269,0.5,
Chambers,1017,2022,Per Capita Income,39447,3.3,
Chambers,1017,2023,Per Capita Income,40735,,62
Cherokee,1019,2020,Per Capita Income,39894,,
Cherokee,1019,2021,Per Capita Income,44590,-0.1,
Cherokee,1019,2022,Per Capita Income,44563,1.2,
Cherokee,1019,2023,Per Capita Income,45099,,36
Chilton,1021,2020,Per Capita Income,38311,,
Chilton,1021,2021,Per Capita Income,42839,1.4,
Chilton,1021,2022,Per Capita Income,43454,6.1,
Chilton,1021,2023,Per Capita Income,46120,,31
Choctaw,1023,2020,Per Capita Income,40471,,
